Column1,Column2
attributes,value
??????????,???????? 2565
?????????????,????????????????
????,165.40 x 76.90 x 8.40 ??.
???????,192 ????
?????,"Glass front, plastic back, plastic frame"
SIM,"?????? 2 ???????? (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100
5G,-
????????,"HSPA 42.2/5.76 Mbps, LTE-A"
??????,PLS LCD
??????????,6.60 ????
???????????,1080 x 2408 pixels
??????????????,Android 12
???????????,Samsung Exynos 850 S5E3830 2 GHz
?????????,Mali-G52 MP1
???????????,4 GB
??????,64 GB
Memory Card,microSD (1)
?????????,"?????? 1: 50 MP, f/1.8, (wide), PDAF
?????? 2: 5 MP, f/2.2, 123? (ultrawide)
?????? 3: 2 MP, f/2.4, (depth)"
?????????????????,1080p@30fps
?????????,"?????? 1: 8 MP, f/2.2, (wide)"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 a/b/g/n/ac, dual-b"
USB,Type-C
GPS,"A-GPS, GLONASS, GALILEO,"
NFC,??????
??????,"5,000 mAh"
??????,Non-removable Li-Po Batt
Fast Charging,?????? (15W)
??????????,???????? 2564
?????????????,????????????????
????,164.50 x 76.90 x 8.40 ??.
???????,195 ????
?????,"Glass front, plastic frame, plastic back"
SIM,"?????? 2 ???????? (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,-
????????,"HSPA 42.2/5.76 Mbps, LTE-A"
??????,TFT
??????????,6.60 ????
???????????,1080 x 2408 pixels
??????????????,Android 12
???????????,Qualcomm Snapdragon 680 4G SM6225 2.4 GHz
?????????,Adreno 610
???????????,8 GB
??????,128 GB
Memory Card,microSD (1)
?????????,"?????? 1: 50 MP, f/1.8, (wide), PDAF
?????? 2: 5 MP, f/2.2, (ultrawide), 1/5
?????? 3: 2 MP, f/2.4, (macro)
?????? 4: 2 MP, f/2.4, (depth)"
?????????????????,1080p@30fps
?????????,"?????? 1: 8 MP, f/2.2, (wide)"
Bluetooth,5.0
Wi-Fi,802.11 a/b/g/n/ac
USB,Type-C
GPS,"A-GPS, GLONASS, GALILEO,"
NFC,?????????
??????,"5,000 mAh"
??????,Non-removable Li-Po Batt
Fast Charging,?????? (25W)
??????????,??????? 2564
?????????????,????????????????
????,165.10 x 76.40 x 8.80 ??.
???????,195 ????
?????,"Glass front (Gorilla Glass 5), plastic frame, plastic back"
SIM,"?????? 2 ???????? (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,-
????????,"HSPA 42.2/5.76 Mbps, LTE-A"
??????,TFT
??????????,6.60 ????
???????????,1080 x 2408 pixels
??????????????,Android 12
???????????,Samsung Exynos 850 S5E3830 2 GHz
?????????,Mali-G52 MP1
???????????,4 GB
??????,128 GB
Memory Card,microSD (1)
?????????,"?????? 1: 50 MP, f/1.8, (wide), PDAF
?????? 2: 5 MP, f/2.2, (ultrawide), 1/5
?????? 3: 2 MP, f/2.4, (macro)
?????? 4: 2 MP, f/2.4, (depth)"
?????????????????,1080p@30fps
?????????,"?????? 1: 8 MP, f/2.2, (wide)"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 b/g/n, Wi-Fi Direc"
USB,Type-C
GPS,"A-GPS, GLONASS, GALILEO,"
NFC,?????????
??????,"5,000 mAh"
??????,Non-removable Li-Po Batt
Fast Charging,?????? (25W)
??????????,??????? 2564
?????????????,????????????????
????,164.20 x 76.60 x 9.00 ??.
???????,205 ????
?????,"Glass front, plastic frame, plastic back"
SIM,"?????? 2 ???????? (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,2100/2600/3500/4700
????????,"HSPA 42.2/5.76 Mbps, LTE-A"
??????,LCD
??????????,6.50 ????
???????????,720 x 1600 pixels
??????????????,Android 11
???????????,MediaTek Dimensity 720 MT6853 2 GHz
?????????,Mali-G57 MC3
???????????,8 GB
??????,128 GB
Memory Card,microSD (1)
?????????,"?????? 1: 48 MP, 26mm (wide)
?????? 2: 8 MP, 123? (ultrawide)
?????? 3: 5 MP, (macro)
?????? 4: 2 MP, (depth)"
?????????????????,1080p@30fps
?????????,"?????? 1: 13 MP, (wide)"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 a/b/g/n/ac, dual-b"
USB,Type-C
GPS,"with A-GPS, GLONASS, BDS,"
NFC,?????????
??????,"5,000 mAh"
??????,Non-removable Li-Po Batt
Fast Charging,?????? (15W)
??????????,??????? 2564
?????????????,????????????????
????,164.00 x 75.80 x 8.90 ??.
???????,205 ????
?????,"Glass front, plastic back, plastic frame"
SIM,"?????? 2 ???????? (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,-
????????,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps"
??????,IPS LCD
??????????,6.50 ????
???????????,720 x 1600 pixels
??????????????,Android 11
???????????,Samsung Exynos 850 S5E3830 2 GHz
?????????,Mali-G52 MP1
???????????,4 GB
??????,128 GB
Memory Card,?????????
?????????,"?????? 1: 48 MP, f/2.0, 26mm (wide), AF
?????? 2: 5 MP, f/2.2, 123? (ultrawide)
?????? 3: 2 MP, f/2.4, (macro)
?????? 4: 2 MP, f/2.4, (depth)"
?????????????????,1080p@30fps
?????????,"?????? 1: 8 MP, f/2.2"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 b/g/n, Wi-Fi Direc"
USB,Type-C
GPS,"with A-GPS, GLONASS, GALI"
NFC,?????????
??????,"5,000 mAh"
??????,Non-removable Li-Po Batt
Fast Charging,?????? (15W)
??????????,?????? 2556
?????????????,"???????? 2556, ??????????????"
????,105.00 x 57.80 x 11.80 ??.
???????,101 ????
?????,Plastic
SIM,?????? 1 ????????
Technology,"GPRS,EDGE, HSPA"
2G,850/900/1800/1900
3G,900/2100
4G,-
5G,-
????????,"GPRS,EDGE, HSPA"
??????,TFT LCD
??????????,3.00 ????
???????????,320 x 240 pixels
????????????????,"????????? PC ?????????????????????????????????? Internet Tethering
???????????? Mobile Hotspot ????????????????????????????????????????????????????????????
???????????????? USB Mass Storage ??????????????????????????? PC
?????????????? TouchWiz UI ?????????? Android 4.1"
??????????????,Android 4.1
???????????,Single Core 0 MHz
?????????,-1
???????????,512 MB
??????,4 GB
Memory Card,microSD (32)
?????????,?????? 1: 2 MP
?????????????????,-1
?????????,
Bluetooth,4
Wi-Fi,802.11b/g/n
USB,micro USB
GPS,"AGPS , Glonass"
NFC,?????????
??????,"1,200 mAh"
??????,Li-ion
??????????,?????????? 2556
?????????????,"???????? 2556, ????????????????????"
????,109.40 x 58.60 x 12.50 ??.
???????,112 ????
?????,Plastic
SIM,?????? 1 ????????
Technology,"GPRS,EDGE, HSPA"
2G,850/900/1800/1900
3G,900/2100
4G,-
5G,-
????????,"GPRS,EDGE, HSPA"
??????,TFT LCD
??????????,3.27 ????
???????????,480 x 320 pixels
????????????????,"????????? PC ?????????????????????????????????? Internet Tethering
???????????? Mobile Hotspot ????????????????????????????????????????????????????????????
???????????????? USB Mass Storage ??????????????????????????? PC
?????????????? TouchWiz UI ?????????? Android 4.1 
??????????? Gorilla Glass ?????????????????"
??????????????,Android 4.1
???????????,Single Core 0 MHz
?????????,-1
???????????,768 MB
??????,4 GB
Memory Card,microSD (64)
?????????,?????? 1: 3 MP
?????????????????,-1
?????????,
Bluetooth,4
Wi-Fi,802.11b/g/n
USB,micro USB
GPS,AGPS
NFC,?????????
??????,"1,300 mAh"
??????,Li-ion
??????????,??????? 2559
?????????????,"??????? 2559, ????????????????????"
????,121.60 x 63.10 x 10.80 ??.
???????,123 ????
?????,Plastic
SIM,"?????? 2 ???????? (n/a, n/a)"
Technology,"EDGE, HSPA"
2G,850/900/1800/1900
3G,850/900/2100
4G,-
5G,-
????????,"EDGE, HSPA"
??????,TFT LCD
??????????,4.00 ????
???????????,800 x 480 pixels
????????????????,"???????????????????????????????????????
??????? Diskdrive ??????????????????????????? PC ???"
??????????????,Android 5.1
???????????,Spreadtrum SC8830 1.2 GHz
?????????,VideoCore IV
???????????,750 MB
??????,8 GB
Memory Card,microSD (128)
?????????,?????? 1: 5 MP
?????????????????,720p (30fps)
?????????,?????? 1: MP
Bluetooth,4.0
Wi-Fi,802.11 b/g/n
USB,micro USB
GPS,"GPS, Glonass"
NFC,?????????
??????,"1,500 mAh"
??????,Li-ion
??????????,??????? 2563
?????????????,"??????? 2563, ??????????????"
????,141.70 x 67.50 x 8.60 ??.
???????,150 ????
?????,Plastic
SIM,"?????? 2 ???????? (nano sim, nano sim)"
Technology,"EDGE, HSPA+, LTE"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100
5G,-
????????,"EDGE, HSPA+, LTE"
??????,PLS LCD
??????????,5.30 ????
???????????,1480 x 720 pixels
??????????????,Android 10 Go
???????????,MediaTek MT6739 1.5 GHz
?????????,PowerVR GE8100
???????????,1 GB
??????,16 GB
Memory Card,microSD (512)
?????????,"?????? 1: 8 MP, f/2.2, AF"
?????????????????,1080p@30fps
?????????,"?????? 1: 5 MP, f/2.4"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,802.11 b/g/n
USB,micro USB
GPS,A-GPS
NFC,?????????
??????,"3,000 mAh"
??????,Non-removable Li-Ion
??????????,???????? 2558
?????????????,"???????? 2558, ??????????????"
????,121.40 x 62.90 x 10.70 ??.
???????,123 ????
?????,Plastic
SIM,"?????? 2 ???????? (micro sim, micro sim)"
Technology,"EDGE, HSPA"
2G,850/900/1800/1900
3G,900/2100
4G,-
5G,-
????????,"EDGE, HSPA"
??????,TFT LCD
??????????,4.00 ????
???????????,800 x 480 pixels
????????????????,"????????? PC ?????????????????????????????????? Internet Tethering
???????????? Mobile Hotspot ????????????????????????????????????????????????????????????
???????????????? USB Mass Storage ??????????????????????????? PC
?????????????? TouchWiz UX ?????????? Android 4.4
?????? 2 ???"
??????????????,Android 4.4
???????????,Dual Core 0 MHz
?????????,VideoCore IV
???????????,512 MB
??????,4 GB
Memory Card,microSD (64)
?????????,?????? 1: 3 MP
?????????????????,480
?????????,?????? 1: MP
Bluetooth,4
Wi-Fi,802.11b/g/n
USB,micro USB
GPS,"Glonass, GPS"
NFC,?????????
??????,"1,500 mAh"
??????,Li-ion
